dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
NefertitiFace,3,complete,96.16431810001086,87.30036770000879,data\output\v2_1_multiseed\NefertitiFace\seed_3\spline\NefertitiFace_spline_seed3.metrics.json,spline,1000,975,True,0,0,0,0.004082616418600082,4.148543357849121,4.091317296146833,4.51235818862915,5.055932521820068,5.733595848083496,5.268189354907983,15.442701008760134,39.055373086720685,0.0950312688946724,5.224428653717041,14.317275047302246
NefertitiFace,4,complete,25.24940639999113,16.328745999999228,data\output\v2_1_multiseed\NefertitiFace\seed_4\affine\NefertitiFace_affine_seed4.metrics.json,affine,1000,1000,True,0,0,0,0.00317213824018836,4.564652919769287,4.45272217004354,5.808952331542969,6.777472019195557,7.685068130493164,9.810244761124022,24.591964306179243,63.42089868437114,0.07139143347740173,5.224428653717041,14.317275047302246
NefertitiFace,4,complete,94.8289528000023,85.93039320000389,data\output\v2_1_multiseed\NefertitiFace\seed_4\spline\NefertitiFace_spline_seed4.metrics.json,spline,1000,975,True,0,0,0,0.003824949963018298,4.163680076599121,4.101281111942184,4.532680511474609,5.252656936645508,6.0111985206604,5.451640730636738,15.924970557805677,31.751386850305103,0.08899581432342529,5.224428653717041,14.317275047302246
Isis,,complete,,,data\output\v2_1_multiseed\Isis\seed_0\affine\Isis_affine_seed0.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,0.012222577891136462,15.866033554077148,1508.113037109375
Isis,0,complete,31.374295599991456,20.825400100002298,data\output\v2_1_multiseed\Isis\seed_0\affine\Isis_affine_seed0.metrics.json,affine,1000,1000,True,0,0,0,8.135452662827447e-05,8.66858959197998,7.635569315039586,18.12741470336914,31.395801544189453,387.13525390625,22.245078642740854,57.48920407342507,119.77034161614405,0.03673236444592476,15.866033554077148,1508.113037109375
Isis,0,complete,100.14378309999302,89.66225790001045,data\output\v2_1_multiseed\Isis\seed_0\spline\Isis_spline_seed0.metrics.json,spline,1000,925,True,0,0,0,7.331093365792185e-05,6.066351890563965,5.553869950030698,10.576491355895996,20.83024787902832,90.92547607421875,16.627764084831426,48.82097630351055,109.89853419567115,0.036212556064128876,15.866033554077148,1508.113037109375
Isis,1,complete,30.268668299991987,19.667079799997737,data\output\v2_1_multiseed\Isis\seed_1\affine\Isis_affine_seed1.metrics.json,affine,1000,1000,True,0,0,0,6.88638465362601e-05,8.782672882080078,7.593700951875366,18.844650268554688,32.3940544128418,446.47991943359375,22.12156067767081,58.29780487364365,121.2834061022203,0.030893173068761826,15.866033554077148,1508.113037109375
Isis,1,complete,99.03619990000152,88.64107409999997,data\output\v2_1_multiseed\Isis\seed_1\spline\Isis_spline_seed1.metrics.json,spline,1000,1000,True,0,0,0,9.862885053735226e-05,6.019851207733154,5.514621450522402,11.180929183959961,17.73299789428711,84.16361999511719,16.03701670415791,48.35108724984907,101.4412710219563,0.04910280928015709,15.866033554077148,1508.113037109375
Isis,2,complete,32.416051500011235,22.090758299993468,data\output\v2_1_multiseed\Isis\seed_2\affine\Isis_affine_seed2.metrics.json,affine,1000,1000,True,0,0,0,7.80177942942828e-05,8.543902397155762,7.455178270827041,18.29694366455078,30.14276695251465,406.9834289550781,21.992445770679563,58.058181010092724,117.28096989010618,0.035168178379535675,15.866033554077148,1508.113037109375
Isis,2,complete,99.2574772999942,88.83166779999738,data\output\v2_1_multiseed\Isis\seed_2\spline\Isis_spline_seed2.metrics.json,spline,1000,1000,True,0,0,0,8.986468310467899e-05,5.951868057250977,5.423891592026786,10.445359230041504,22.09041976928711,100.08108520507812,15.783555352671566,46.89103825407584,108.6356731992708,0.04470665007829666,15.866033554077148,1508.113037109375
Isis,3,complete,29.52341590001015,18.991645999994944,data\output\v2_1_multiseed\Isis\seed_3\affine\Isis_affine_seed3.metrics.json,affine,1000,1000,True,0,0,0,7.934312452562153e-05,8.527201652526855,7.42479868352015,17.909740447998047,34.743167877197266,381.5082092285156,21.910788681637097,57.345103816337094,120.0711704679481,0.03626110777258873,15.866033554077148,1508.113037109375
Isis,3,complete,102.66304839999066,92.14937139999529,data\output\v2_1_multiseed\Isis\seed_3\spline\Isis_spline_seed3.metrics.json,spline,1000,1000,True,0,0,0,7.784832268953323e-05,6.362525939941406,5.70767859933698,11.1839017868042,23.397708892822266,158.9923553466797,17.099332124318156,49.05521631692324,112.13274371469566,0.03856512904167175,15.866033554077148,1508.113037109375
Isis,4,complete,31.036456999994698,20.46167200000491,data\output\v2_1_multiseed\Isis\seed_4\affine\Isis_affine_seed4.metrics.json,affine,1000,1000,True,0,0,0,8.12881116871722e-05,8.62216567993164,7.589943357490192,17.723596572875977,30.638458251953125,379.5953369140625,22.20889476655813,57.046689632253035,119.692682365281,0.03672376275062561,15.866033554077148,1508.113037109375
